Month,Passenger ID,Passenger Group,Test group,Trips
July,800154,Medium,Loyalty,5
July,800155,Medium,Control,5
July,800156,Low,Loyalty,1
July,800157,Low,Control,1
July,800158,Medium,Loyalty,5
July,800159,Medium,Control,5
July,800160,Low,Loyalty,1
July,800161,Medium,Control,4
July,800162,Low,Loyalty,0
July,800163,Low,Control,3
July,800164,High,Loyalty,12
July,800165,Medium,Control,6
July,800166,High,Loyalty,12
July,800167,Low,Control,0
July,800168,Low,Loyalty,3
July,800169,Medium,Control,6
July,800170,Medium,Loyalty,4
July,800171,Low,Control,3
July,800172,Low,Loyalty,3
July,800173,Low,Control,1
July,800174,Low,Loyalty,1
July,800175,Low,Control,1
July,800176,Low,Loyalty,0
July,800177,High,Control,9
July,800178,Low,Loyalty,1
July,800179,Medium,Control,4
July,800180,Low,Loyalty,1
July,800181,Low,Control,2
July,800182,High,Loyalty,11
July,800183,Medium,Control,5
July,800184,Low,Loyalty,1
July,800185,Low,Control,3
July,800186,Low,Loyalty,3
July,800187,Low,Control,1
July,800188,Medium,Loyalty,5
July,800189,Low,Control,2
July,800190,Low,Loyalty,2
July,800191,Low,Control,1
July,800192,Low,Loyalty,2
July,800193,Low,Control,1
July,800194,Low,Loyalty,2
July,800195,Low,Control,3
July,800196,Medium,Loyalty,4
July,800197,High,Control,8
July,800198,Low,Loyalty,2
July,800199,Low,Control,2
July,800200,Low,Loyalty,1
July,800201,Low,Control,0
July,800202,Medium,Loyalty,4
July,800203,Low,Control,2
July,800204,Medium,Loyalty,5
July,800205,Low,Control,1
July,800206,Medium,Loyalty,4
July,800207,High,Control,8
July,800208,Medium,Loyalty,6
July,800209,Low,Control,1
July,800210,High,Loyalty,10
July,800211,Low,Control,1
July,800212,High,Loyalty,14
July,800213,Medium,Control,6
July,800214,Low,Loyalty,2
July,800215,Low,Control,3
July,800216,High,Loyalty,10
July,800217,High,Control,9
July,800218,Low,Loyalty,0
July,800219,High,Control,13
July,800220,Low,Loyalty,1
July,800221,Low,Control,3
July,800222,Medium,Loyalty,4
July,800223,Low,Control,3
July,800224,Medium,Loyalty,4
July,800225,Low,Control,0
July,800226,Low,Loyalty,1
July,800227,Low,Control,0
July,800228,Low,Loyalty,0
July,800229,High,Control,8
July,800230,High,Loyalty,7
July,800231,Low,Control,2
July,800232,Low,Loyalty,2
July,800233,Medium,Control,4
July,800234,Low,Loyalty,1
July,800235,High,Control,8
July,800236,High,Loyalty,8
July,800237,Medium,Control,6
July,800238,Medium,Loyalty,5
July,800239,Low,Control,3
July,800240,High,Loyalty,8
July,800241,Medium,Control,6
July,800242,Low,Loyalty,1
July,800243,Medium,Control,5
July,800244,High,Loyalty,7
July,800245,Low,Control,0
July,800246,Medium,Loyalty,6
July,800247,Medium,Control,4
July,800248,Low,Loyalty,0
July,800249,Medium,Control,5
July,800250,Medium,Loyalty,5
July,800251,Medium,Control,5
July,800252,Medium,Loyalty,5
July,800253,Medium,Control,6
July,800254,Medium,Loyalty,4
July,800255,Medium,Control,4
July,800256,Medium,Loyalty,4
July,800257,Medium,Control,5
July,800258,High,Loyalty,8
July,800259,Low,Control,1
July,800260,Low,Loyalty,1
July,800261,Low,Control,2
July,800262,Medium,Loyalty,6
July,800263,Low,Control,2
July,800264,Low,Loyalty,0
July,800265,Low,Control,1
July,800266,Low,Loyalty,0
July,800267,Low,Control,0
July,800268,Medium,Loyalty,6
July,800269,Medium,Control,4
July,800270,Medium,Loyalty,4
July,800271,Low,Control,1
July,800272,High,Loyalty,14
July,800273,Medium,Control,5
July,800274,Low,Loyalty,1
July,800275,Low,Control,1
July,800276,Low,Loyalty,1
July,800277,Low,Control,0
July,800278,Medium,Loyalty,6
July,800279,Medium,Control,5
July,800280,Low,Loyalty,2
July,800281,Medium,Control,4
July,800282,Medium,Loyalty,6
July,800283,High,Control,9
July,800284,Low,Loyalty,3
July,800285,Medium,Control,6
July,800286,Low,Loyalty,0
July,800287,Medium,Control,4
July,800288,Medium,Loyalty,6
July,800289,Low,Control,2
July,800290,Medium,Loyalty,6
July,800291,Medium,Control,6
July,800292,Medium,Loyalty,4
July,800293,Medium,Control,6
July,800294,Medium,Loyalty,4
July,800295,Low,Control,1
July,800296,Low,Loyalty,0
July,800297,High,Control,13
July,800298,Low,Loyalty,1
July,800299,Low,Control,0
July,800300,Medium,Loyalty,6
July,800301,Low,Control,3
July,800302,Low,Loyalty,2
July,800303,Medium,Control,6
July,800304,Low,Loyalty,1
July,800305,Low,Control,1
July,800306,Medium,Loyalty,6
July,800307,High,Control,11
July,800308,Low,Loyalty,2
July,800309,High,Control,12
July,800310,Medium,Loyalty,5
July,800311,Medium,Control,6
July,800312,Low,Loyalty,0
July,800313,Low,Control,0
July,800314,Low,Loyalty,1
July,800315,Medium,Control,5
July,800316,Medium,Loyalty,4
July,800317,Low,Control,1
July,800318,Low,Loyalty,3
July,800319,Medium,Control,5
July,800320,High,Loyalty,9
July,800321,Medium,Control,6
July,800322,Low,Loyalty,2
July,800323,Low,Control,1
July,800324,Medium,Loyalty,5
July,800325,High,Control,10
July,800326,Low,Loyalty,1
July,800327,Medium,Control,4
July,800328,Medium,Loyalty,4
July,800329,Medium,Control,5
July,800330,Medium,Loyalty,5
July,800331,Medium,Control,4
July,800332,Low,Loyalty,2
July,800333,Medium,Control,6
July,800334,Low,Loyalty,2
July,800335,Low,Control,2
July,800336,Low,Loyalty,1
July,800337,Medium,Control,4
July,800338,Medium,Loyalty,6
July,800339,Low,Control,3
July,800340,Medium,Loyalty,4
July,800341,Medium,Control,4
July,800342,Medium,Loyalty,4
July,800343,Medium,Control,5
July,800344,Medium,Loyalty,5
July,800345,Medium,Control,6
July,800346,High,Loyalty,8
July,800347,Low,Control,1
July,800348,Low,Loyalty,3
July,800349,Low,Control,0
July,800350,Low,Loyalty,1
July,800351,Medium,Control,4
July,800352,Low,Loyalty,0
July,800353,Medium,Control,4
July,800354,Medium,Loyalty,4
July,800355,Medium,Control,6
July,800356,Medium,Loyalty,5
July,800357,High,Control,14
July,800358,Medium,Loyalty,4
July,800359,Medium,Control,6
July,800360,Medium,Loyalty,4
July,800361,Medium,Control,5
July,800362,Medium,Loyalty,6
July,800363,Medium,Control,4
July,800364,Medium,Loyalty,4
July,800365,Medium,Control,6
July,800366,Medium,Loyalty,5
July,800367,Medium,Control,4
July,800368,Medium,Loyalty,4
July,800369,Medium,Control,6
July,800370,Medium,Loyalty,4
July,800371,Medium,Control,4
July,800372,Low,Loyalty,2
July,800373,Medium,Control,5
July,800374,Medium,Loyalty,6
July,800375,Low,Control,1
July,800376,Low,Loyalty,0
July,800377,Medium,Control,4
July,800378,Low,Loyalty,0
July,800379,Medium,Control,4
July,800380,Low,Loyalty,3
July,800381,Medium,Control,4
July,800382,Low,Loyalty,1
July,800383,Low,Control,0
July,800384,Medium,Loyalty,6
July,800385,Low,Control,3
July,800386,Low,Loyalty,2
July,800387,Low,Control,0
July,800388,Low,Loyalty,0
July,800389,Medium,Control,4
July,800390,High,Loyalty,14
July,800391,Medium,Control,6
July,800392,Medium,Loyalty,4
July,800393,Low,Control,0
July,800394,Low,Loyalty,1
July,800395,Medium,Control,4
July,800396,Low,Loyalty,1
July,800397,Medium,Control,4
July,800398,Medium,Loyalty,4
July,800399,High,Control,9
July,800400,Medium,Loyalty,6
July,800401,Medium,Control,4
July,800402,Low,Loyalty,1
July,800403,Medium,Control,5
July,800404,Medium,Loyalty,5
July,800405,Low,Control,0
July,800406,Low,Loyalty,0
July,800407,Medium,Control,5
July,800408,Medium,Loyalty,5
July,800409,Low,Control,2
July,800410,High,Loyalty,11
July,800411,Low,Control,0
July,800412,Medium,Loyalty,6
July,800413,Low,Control,0
July,800414,Medium,Loyalty,6
July,800415,High,Control,10
July,800416,Low,Loyalty,2
July,800417,Low,Control,2
July,800418,Medium,Loyalty,6
July,800419,Low,Control,2
July,800420,Medium,Loyalty,5
July,800421,Medium,Control,6
July,800422,Medium,Loyalty,5
July,800423,Medium,Control,5
July,800424,Medium,Loyalty,6
July,800425,Low,Control,0
July,800426,High,Loyalty,9
July,800427,Medium,Control,5
July,800428,Medium,Loyalty,6
July,800429,Medium,Control,6
July,800430,Medium,Loyalty,6
July,800431,High,Control,10
July,800432,High,Loyalty,8
July,800433,Low,Control,1
July,800434,Low,Loyalty,1
July,800435,Medium,Control,6
July,800436,Medium,Loyalty,4
July,800437,Medium,Control,6
July,800438,Low,Loyalty,3
July,800439,High,Control,12
July,800440,Low,Loyalty,2
July,800441,Medium,Control,5
July,800442,Medium,Loyalty,4
July,800443,Medium,Control,4
July,800444,Medium,Loyalty,5
July,800445,High,Control,8
July,800446,Medium,Loyalty,6
July,800447,Medium,Control,5
July,800448,Low,Loyalty,3
July,800449,Low,Control,3
July,800450,Low,Loyalty,2
July,800451,Medium,Control,4
July,800452,Low,Loyalty,0
July,800453,Medium,Control,4
July,800454,Low,Loyalty,2
July,800455,Low,Control,1
July,800456,Medium,Loyalty,5
July,800457,Low,Control,1
July,800458,Low,Loyalty,1
July,800459,Medium,Control,6
July,800460,Medium,Loyalty,6
July,800461,Medium,Control,6
July,800462,High,Loyalty,9
July,800463,Medium,Control,5
July,800464,Medium,Loyalty,5
July,800465,Medium,Control,6
July,800466,Medium,Loyalty,5
July,800467,Medium,Control,4
July,800468,Medium,Loyalty,5
July,800469,Low,Control,2
July,800470,Low,Loyalty,3
July,800471,Medium,Control,6
July,800472,High,Loyalty,9
July,800473,High,Control,7
July,800474,Medium,Loyalty,6
July,800475,Medium,Control,5
July,800476,Medium,Loyalty,4
July,800477,Low,Control,1
July,800478,Low,Loyalty,2
July,800479,Low,Control,2
July,800480,High,Loyalty,12
July,800481,Low,Control,0
July,800482,Low,Loyalty,2
July,800483,Medium,Control,6
July,800484,Medium,Loyalty,6
July,800485,Low,Control,3
July,800486,Low,Loyalty,0
July,800487,Low,Control,1
July,800488,High,Loyalty,14
July,800489,Low,Control,2
July,800490,High,Loyalty,12
July,800491,Medium,Control,4
July,800492,Medium,Loyalty,6
July,800493,High,Control,10
July,800494,Low,Loyalty,0
July,800495,Low,Control,1
July,800496,Medium,Loyalty,4
July,800497,Medium,Control,4
July,800498,Low,Loyalty,2
July,800499,Medium,Control,6
July,800500,Medium,Loyalty,6
July,800501,Medium,Control,5
July,800502,Medium,Loyalty,5
July,800503,Low,Control,2
July,800504,Medium,Loyalty,4
July,800505,Low,Control,3
July,800506,Low,Loyalty,1
July,800507,High,Control,9
July,800508,Medium,Loyalty,4
July,800509,Low,Control,1
July,800510,Low,Loyalty,1
July,800511,Low,Control,3
July,800512,Low,Loyalty,2
July,800513,Low,Control,2
July,800514,Low,Loyalty,1
July,800515,Low,Control,2
July,800516,High,Loyalty,11
July,800517,Low,Control,1
July,800518,Medium,Loyalty,5
July,800519,High,Control,14
July,800520,Medium,Loyalty,4
July,800521,Low,Control,0
July,800522,Low,Loyalty,3
July,800523,Medium,Control,6
July,800524,High,Loyalty,10
July,800525,Low,Control,0
July,800526,Medium,Loyalty,6
July,800527,Low,Control,1
July,800528,Low,Loyalty,0
July,800529,Low,Control,1
July,800530,High,Loyalty,12
July,800531,Low,Control,2
July,800532,Medium,Loyalty,6
July,800533,Medium,Control,6
July,800534,High,Loyalty,9
July,800535,Low,Control,3
July,800536,Medium,Loyalty,5
July,800537,Medium,Control,6
July,800538,Medium,Loyalty,4
July,800539,Medium,Control,4
July,800540,Medium,Loyalty,4
July,800541,Medium,Control,5
July,800542,Medium,Loyalty,4
July,800543,Medium,Control,5
July,800544,Low,Loyalty,2
July,800545,Medium,Control,4
July,800546,Medium,Loyalty,5
July,800547,Medium,Control,5
July,800548,High,Loyalty,7
July,800549,Low,Control,2
July,800550,Low,Loyalty,1
July,800551,Low,Control,0
July,800552,Medium,Loyalty,6
July,800553,Medium,Control,4
July,800554,High,Loyalty,13
July,800555,Medium,Control,6
July,800556,Medium,Loyalty,5
July,800557,Medium,Control,6
July,800558,High,Loyalty,7
July,800559,High,Control,11
July,800560,Medium,Loyalty,4
July,800561,Low,Control,3
July,800562,High,Loyalty,14
July,800563,Medium,Control,5
July,800564,High,Loyalty,9
July,800565,Medium,Control,6
July,800566,Medium,Loyalty,5
July,800567,High,Control,10
July,800568,Medium,Loyalty,5
July,800569,Low,Control,1
July,800570,Low,Loyalty,0
July,800571,Medium,Control,4
July,800572,Low,Loyalty,0
July,800573,Low,Control,3
July,800574,Medium,Loyalty,6
July,800575,Medium,Control,5
July,800576,Low,Loyalty,3
July,800577,High,Control,8
July,800578,Medium,Loyalty,4
July,800579,Low,Control,2
July,800580,Medium,Loyalty,4
July,800581,High,Control,9
July,800582,High,Loyalty,8
July,800583,Low,Control,1
July,800584,Medium,Loyalty,5
July,800585,Low,Control,1
July,800586,Low,Loyalty,3
July,800587,Low,Control,2
July,800588,Low,Loyalty,1
July,800589,High,Control,11
July,800590,Low,Loyalty,1
July,800591,Medium,Control,5
July,800592,Medium,Loyalty,6
July,800593,Medium,Control,4
July,800594,Medium,Loyalty,4
July,800595,Medium,Control,6
July,800596,Low,Loyalty,1
July,800597,Medium,Control,5
July,800598,Low,Loyalty,2
July,800599,Medium,Control,4
July,800600,Medium,Loyalty,5
July,800601,Medium,Control,6
July,800602,Medium,Loyalty,6
July,800603,Medium,Control,4
July,800604,Low,Loyalty,2
July,800605,Medium,Control,4
July,800606,Low,Loyalty,1
July,800607,Medium,Control,5
July,800608,Low,Loyalty,0
July,800609,Low,Control,3
July,800610,Low,Loyalty,3
July,800611,High,Control,11
July,800612,Medium,Loyalty,6
July,800613,Medium,Control,5
July,800614,Low,Loyalty,3
July,800615,Medium,Control,5
July,800616,Medium,Loyalty,4
July,800617,Low,Control,1
July,800618,Low,Loyalty,3
July,800619,Medium,Control,5
July,800620,High,Loyalty,10
July,800621,High,Control,13
July,800622,Medium,Loyalty,4
July,800623,Low,Control,3
July,800624,Low,Loyalty,1
July,800625,Low,Control,0
July,800626,Medium,Loyalty,5
July,800627,Medium,Control,5
July,800628,Low,Loyalty,3
July,800629,Medium,Control,6
July,800630,Low,Loyalty,3
July,800631,High,Control,12
July,800632,Low,Loyalty,2
July,800633,Medium,Control,4
July,800634,Low,Loyalty,2
July,800635,Low,Control,3
July,800636,Low,Loyalty,1
July,800637,Low,Control,2
July,800638,Low,Loyalty,1
July,800639,Low,Control,3
July,800640,Low,Loyalty,1
July,800641,Medium,Control,5
July,800642,Medium,Loyalty,6
July,800643,Medium,Control,4
July,800644,Medium,Loyalty,6
July,800645,Low,Control,3
July,800646,Low,Loyalty,2
July,800647,Low,Control,0
July,800648,Medium,Loyalty,4
July,800649,Low,Control,2
July,800650,Low,Loyalty,1
July,800651,Medium,Control,4
July,800652,Low,Loyalty,1
July,800653,Medium,Control,6
July,800654,Medium,Loyalty,5
July,800655,Medium,Control,5
July,800656,Medium,Loyalty,6
July,800657,Medium,Control,6
July,800658,High,Loyalty,10
July,800659,High,Control,9
July,800660,Medium,Loyalty,4
July,800661,Medium,Control,4
July,800662,Low,Loyalty,2
July,800663,Medium,Control,6
July,800664,Low,Loyalty,1
July,800665,Medium,Control,5
July,800666,Medium,Loyalty,5
July,800667,Medium,Control,5
July,800668,High,Loyalty,11
July,800669,Medium,Control,5
July,800670,High,Loyalty,9
July,800671,Low,Control,0
July,800672,High,Loyalty,14
July,800673,High,Control,8
July,800674,High,Loyalty,11
July,800675,Low,Control,2
July,800676,Low,Loyalty,0
July,800677,Medium,Control,6
July,800678,Medium,Loyalty,4
July,800679,Low,Control,3
July,800680,Low,Loyalty,0
July,800681,Low,Control,2
July,800682,Low,Loyalty,1
July,800683,Low,Control,0
July,800684,Medium,Loyalty,4
July,800685,Medium,Control,6
July,800686,Low,Loyalty,3
July,800687,Medium,Control,4
July,800688,Low,Loyalty,0
July,800689,Medium,Control,4
July,800690,Medium,Loyalty,6
July,800691,Low,Control,0
July,800692,Medium,Loyalty,4
July,800693,Low,Control,1
July,800694,Medium,Loyalty,5
July,800695,Low,Control,1
July,800696,Low,Loyalty,3
July,800697,Medium,Control,6
July,800698,Medium,Loyalty,6
July,800699,Medium,Control,6
July,800700,Medium,Loyalty,6
July,800701,High,Control,13
July,800702,Low,Loyalty,2
July,800703,Medium,Control,5
July,800704,Low,Loyalty,3
July,800705,Low,Control,3
July,800706,High,Loyalty,7
July,800707,Low,Control,1
July,800708,Medium,Loyalty,4
July,800709,High,Control,10
July,800710,Medium,Loyalty,4
July,800711,Low,Control,1
July,800712,Medium,Loyalty,4
July,800713,Low,Control,2
July,800714,Low,Loyalty,1
July,800715,Low,Control,1
July,800716,High,Loyalty,7
July,800717,Medium,Control,4
July,800718,Low,Loyalty,0
July,800719,Medium,Control,4
July,800720,Medium,Loyalty,5
July,800721,Medium,Control,4
July,800722,High,Loyalty,14
July,800723,Medium,Control,4
July,800724,Medium,Loyalty,4
July,800725,Low,Control,3
July,800726,Medium,Loyalty,4
July,800727,Low,Control,2
July,800728,Medium,Loyalty,4
July,800729,High,Control,12
July,800730,Medium,Loyalty,6
July,800731,Medium,Control,6
July,800732,Low,Loyalty,1
July,800733,Low,Control,0
July,800734,Medium,Loyalty,4
July,800735,Low,Control,2
July,800736,High,Loyalty,14
July,800737,Medium,Control,6
July,800738,Medium,Loyalty,4
July,800739,Medium,Control,4
July,800740,Medium,Loyalty,6
July,800741,High,Control,14
July,800742,Low,Loyalty,2
July,800743,High,Control,9
July,800744,Low,Loyalty,1
July,800745,Medium,Control,6
July,800746,Low,Loyalty,0
July,800747,High,Control,11
July,800748,Low,Loyalty,2
July,800749,Medium,Control,6
July,800750,Low,Loyalty,2
July,800751,High,Control,13
July,800752,Low,Loyalty,0
July,800753,Low,Control,3
July,800754,Medium,Loyalty,4
July,800755,Medium,Control,4
July,800756,Medium,Loyalty,4
July,800757,Low,Control,3
July,800758,Low,Loyalty,0
July,800759,Low,Control,1
July,800760,Medium,Loyalty,5
July,800761,Low,Control,2
July,800762,Low,Loyalty,1
July,800763,Medium,Control,4
July,800764,Medium,Loyalty,6
July,800765,Medium,Control,4
July,800766,Medium,Loyalty,4
July,800767,Medium,Control,6
July,800768,Low,Loyalty,0
July,800769,Medium,Control,6
July,800770,Medium,Loyalty,5
July,800771,Medium,Control,6
July,800772,Low,Loyalty,2
July,800773,Low,Control,3
July,800774,Low,Loyalty,1
July,800775,Low,Control,1
July,800776,Low,Loyalty,2
July,800777,Medium,Control,4
July,800778,Medium,Loyalty,4
July,800779,Low,Control,0
July,800780,Low,Loyalty,2
July,800781,Low,Control,1
July,800782,Medium,Loyalty,4
July,800783,Medium,Control,5
July,800784,Medium,Loyalty,6
July,800785,High,Control,12
July,800786,Low,Loyalty,0
July,800787,Medium,Control,6
July,800788,Medium,Loyalty,6
July,800789,Medium,Control,6
July,800790,Low,Loyalty,0
July,800791,Medium,Control,5
July,800792,Medium,Loyalty,5
July,800793,Medium,Control,5
July,800794,Low,Loyalty,1
July,800795,Low,Control,2
July,800796,Low,Loyalty,3
July,800797,Medium,Control,5
July,800798,Medium,Loyalty,6
July,800799,Medium,Control,4
July,800800,Low,Loyalty,0
July,800801,Medium,Control,4
July,800802,Medium,Loyalty,4
July,800803,High,Control,9
July,800804,Medium,Loyalty,6
July,800805,Medium,Control,6
July,800806,Medium,Loyalty,6
July,800807,Medium,Control,6
July,800808,Low,Loyalty,1
July,800809,Medium,Control,4
July,800810,Medium,Loyalty,4
July,800811,High,Control,10
July,800812,Low,Loyalty,1
July,800813,High,Control,13
July,800814,Low,Loyalty,3
July,800815,Medium,Control,6
July,800816,Low,Loyalty,1
July,800817,Medium,Control,5
July,800818,Low,Loyalty,1
July,800819,Medium,Control,5
July,800820,High,Loyalty,11
July,800821,Medium,Control,5
July,800822,Low,Loyalty,0
July,800823,Low,Control,1
July,800824,Medium,Loyalty,5
July,800825,High,Control,7
July,800826,Low,Loyalty,0
July,800827,Low,Control,2
July,800828,Low,Loyalty,1
July,800829,Low,Control,1
July,800830,Medium,Loyalty,6
July,800831,Medium,Control,5
July,800832,Medium,Loyalty,4
July,800833,High,Control,13
July,800834,Low,Loyalty,0
July,800835,Medium,Control,5
July,800836,Medium,Loyalty,6
July,800837,Medium,Control,4
July,800838,Low,Loyalty,3
July,800839,Medium,Control,4
July,800840,Low,Loyalty,2
July,800841,Medium,Control,4
July,800842,Low,Loyalty,1
July,800843,Medium,Control,6
July,800844,Medium,Loyalty,4
July,800845,Low,Control,3
July,800846,Medium,Loyalty,5
July,800847,Medium,Control,4
July,800848,Low,Loyalty,1
July,800849,Medium,Control,6
July,800850,Low,Loyalty,2
July,800851,Low,Control,2
July,800852,Medium,Loyalty,4
July,800853,Low,Control,1
July,800854,High,Loyalty,8
July,800855,Low,Control,0
July,800856,Low,Loyalty,2
July,800857,Medium,Control,6
July,800858,Medium,Loyalty,6
July,800859,Low,Control,3
July,800860,Low,Loyalty,0
July,800861,Low,Control,0
July,800862,Medium,Loyalty,5
July,800863,Low,Control,1
July,800864,Low,Loyalty,0
July,800865,Medium,Control,6
July,800866,High,Loyalty,14
July,800867,Medium,Control,4
July,800868,Medium,Loyalty,4
July,800869,Low,Control,2
July,800870,Medium,Loyalty,4
July,800871,Medium,Control,4
July,800872,Low,Loyalty,3
July,800873,Low,Control,3
July,800874,High,Loyalty,10
July,800875,Medium,Control,5
July,800876,Low,Loyalty,2
July,800877,Low,Control,1
July,800878,Low,Loyalty,0
July,800879,Low,Control,1
July,800880,Medium,Loyalty,6
July,800881,Medium,Control,6
July,800882,Low,Loyalty,3
July,800883,Low,Control,2
July,800884,Low,Loyalty,3
July,800885,Medium,Control,5
July,800886,High,Loyalty,14
July,800887,Low,Control,2
July,800888,Medium,Loyalty,5
July,800889,Low,Control,0
July,800890,Low,Loyalty,1
July,800891,Medium,Control,5
July,800892,Low,Loyalty,3
July,800893,Low,Control,2
July,800894,Low,Loyalty,1
July,800895,High,Control,9
July,800896,Medium,Loyalty,4
July,800897,Low,Control,1
July,800898,High,Loyalty,12
July,800899,High,Control,12
July,800900,Low,Loyalty,0
July,800901,Medium,Control,4
July,800902,Medium,Loyalty,4
July,800903,High,Control,14
July,800904,Low,Loyalty,0
July,800905,High,Control,8
July,800906,Medium,Loyalty,4
July,800907,High,Control,14
July,800908,Medium,Loyalty,6
July,800909,Medium,Control,6
July,800910,Medium,Loyalty,4
July,800911,High,Control,10
July,800912,Medium,Loyalty,4
July,800913,Low,Control,0
July,800914,Low,Loyalty,3
July,800915,High,Control,9
July,800916,Low,Loyalty,0
July,800917,Medium,Control,4
July,800918,Low,Loyalty,1
July,800919,Medium,Control,6
July,800920,Medium,Loyalty,5
July,800921,Medium,Control,4
July,800922,Medium,Loyalty,4
July,800923,Medium,Control,6
July,800924,Low,Loyalty,3
July,800925,Low,Control,1
July,800926,Low,Loyalty,0
July,800927,High,Control,9
July,800928,Medium,Loyalty,6
July,800929,Medium,Control,6
July,800930,Medium,Loyalty,5
July,800931,Medium,Control,5
July,800932,Medium,Loyalty,5
July,800933,Medium,Control,4
July,800934,Medium,Loyalty,4
July,800935,Low,Control,3
July,800936,Medium,Loyalty,4
July,800937,Medium,Control,4
July,800938,Low,Loyalty,1
July,800939,Low,Control,1
